(jate, goodbye)
(m8s, mates)
(kik, lol)
(qual, cool)
(kewl, cool)
(pwned, owned)	9.490794807907285	 [2452830, 3966203, 93832, 94413, 111312, 396104, 682011, 1032423, 1038852, 1374309, 1439204, 2446398, 3579818, 3822209, 3942261, 4144825]
(bish, bitch)	9.071519037594639	 [250027, 6975903, 7985009, 10514000, 11816993, 3437583, 11580167, 12706508, 405576, 1011937, 1011948, 1924723, 4017694, 8699969]
(shite, shit)	8.840404360733235	 [29002, 34825, 183274, 799180, 1857395, 1967255, 2921851, 5746995, 8145006, 579815, 1023167, 1134480, 2084584]
(pwn, own)	8.324025149542107	 [2856680, 12399, 1154426, 1178775, 1400293, 1418434, 1420726, 1870490, 2899235, 5455706, 12429868]
(lolz, lol)	7.713278172714618	 [154102, 1425007, 1676882, 1799716, 2005810, 2324829, 7031165, 11099414, 263240]
(u, you)	7.713278172714618	 [8304125, 139560, 410892, 712786, 2208158, 2969991, 4185965, 4185966, 6786668]
(shat, shit)	7.360337919534767	 [184846, 433166, 1676156, 252141, 2488463, 4318996, 5197843, 6426270]
(whatev, whatever)	7.360337919534767	 [367412, 2133303, 1140786, 1229175, 1892979, 2710602, 2771132, 4627786]
(teh, the)	7.360337919534767	 [504444, 17775, 303126, 431704, 946108, 1771557, 2106322, 5694702]
(hi, hello)	7.360337919534767	 [699233, 1197833, 6387691, 10593899, 10943458, 11081914, 11739846, 5169731]
(ghey, gay)	7.360337919534767	 [1129462, 1087779, 1668211, 2201412, 4280032, 4769466, 4993926, 9677918]
(biatch, bitch)	6.965784284662087	 [444413, 1038780, 1401699, 540592, 554741, 2025679, 7313036]
(fook, fuck)	6.965784284662087	 [1053612, 11495171, 11901036, 12441339, 25570, 5465717, 11808994]
(confuzzled, confused)	6.965784284662087	 [2539821, 7363894, 2141, 830121, 2429284, 8077854, 12058540]
(yee, yes)	6.965784284662087	 [7601981, 9062867, 10843218, 8890812, 10349585, 4078069, 8333980]
(coolio, cool)	6.518476265845872	 [294608, 3359862, 6214425, 9518239, 12236345, 5299309]
(smexy, sexy)	6.518476265845872	 [1071914, 3192437, 6325305, 6655502, 2788327, 1718815]
(azn, asian)	6.518476265845872	 [1540324, 1595502, 1577768, 1573075, 1856908, 5965661]
(luv, love)	6.518476265845872	 [1684222, 2138982, 3256045, 2438543, 2959935, 5771119]
